id,id_disciplina,id_professor
1008,ADM0297,503
1009,ADM0297,436
1010,ADM0297,478
1011,ADM0297,491
1012,ADM0297,435
1013,ADM0297,442
1014,ADM0297,444
1015,ADM0297,469
1016,ADM0297,447
1017,ADM0297,433
1018,ADM0297,498
1019,ADM0297,464
1020,ADM0297,471
1021,ADM0297,487
1022,ADM0297,459
1023,ADM0298,433
1024,ADM0298,456
1025,ADM0298,475
1026,ADM0300,438
1027,ADM0301,493
1028,ADM0304,504
1029,ADM0304,486
1030,ADM0306,469
1031,ADM0308,505
1032,ADM0308,460
1033,ADM0311,506
1034,ADM0313,435
1035,ADM0315,451
1036,ADM0315,459
1037,ADM0316,471
1038,ADM0316,507
1039,ADM0316,508
1040,ADM0316,500
1041,ADM0316,437
1042,ADM0316,451
1043,ADM0316,509
1044,ADM0317,453
1045,ADM0317,472
1046,ADM0318,491
1047,ADM0320,459
1048,ADM0320,442
1049,ADM0320,510
1050,ADM0321,500
1051,ADM0322,432
1052,DAN0009,512
1053,DAN0022,515
1054,DAN0022,516
1055,DAN0022,517
1056,DAN0022,518
1057,DAN0022,519
1058,DAN0022,512
1059,DAN0022,520
1060,DAN0022,511
1061,DAN0022,521
1062,DAN0022,517
1063,DAN0040,522
1064,DAN0041,523
1065,DAN0041,524
1066,DAN0041,514
1067,DAN0041,523
1068,DAN0042,518
1069,DAN0042,515
1070,DAN0062,516
1071,CEN0005,528
1072,CEN0006,529
1073,CEN0010,530
1074,CEN0011,531
1075,CEN0011,531
1076,CEN0012,528
1077,CEN0012,531
1078,CEN0016,533
1079,CEN0042,535
1080,CEN0042,536
1081,CEN0053,537
1082,CEN0053,538
1083,CEN0053,539
1084,CEN0053,536
1085,CEN0053,528
1086,CEN0055,538
1087,CEN0055,540
1088,CEN0055,532
1089,CEN0135,542
1090,CEN0164,530
1091,CEN0164,543
1092,CEN0165,544
1093,CEN0166,544
1094,CEN0167,545
1095,CEN0167,545
1096,CEN0168,540
1097,CEN0168,540
1098,CEN0169,546
1099,CEN0171,539
1100,CEN0171,547
1101,CEN0172,548
1102,CEN0172,548
1103,CEN0173,549
1104,CEN0173,549
1105,CEN0174,550
1106,CEN0174,550
1107,CEN0175,538
1108,CEN0175,539
1109,CEN0176,551
1110,CEN0176,549
1111,CEN0177,552
1112,CEN0177,552
1113,CEN0178,534
1114,CEN0179,553
1115,CEN0179,553
1116,CEN0182,536
1117,CEN0182,554
1118,CEN0183,554
1119,CEN0183,554
1120,CEN0184,535
1121,CEN0185,555
1122,CEN0189,530
1123,CEN0189,553
1124,CEN0191,542
1125,CEN0191,533
1126,VIS0001,557
1127,VIS0003,559
1128,VIS0005,560
1129,VIS0006,561
1130,VIS0007,562
1131,VIS0008,558
1132,VIS0011,563
1133,VIS0014,564
1134,VIS0016,559
1135,VIS0018,561
1136,VIS0020,565
1137,VIS0022,566
1138,VIS0023,567
1139,VIS0029,569
1140,VIS0029,569
1141,VIS0030,570
1142,VIS0030,571
1143,VIS0031,572
1144,VIS0031,572
1145,VIS0035,573
1146,VIS0035,573
1147,VIS0037,569
1148,VIS0037,574
1149,VIS0037,575
1150,VIS0037,576
1151,VIS0038,577
1152,VIS0038,578
1153,VIS0057,579
1154,VIS0057,579
1155,VIS0061,580
1156,VIS0063,581
1157,VIS0063,581
1158,VIS0063,582
1159,VIS0063,582
1160,VIS0065,583
1161,VIS0065,576
1162,VIS0067,584
1163,VIS0067,585
1164,VIS0067,586
1165,VIS0088,587
1166,VIS0088,587
1167,VIS0088,588
1168,VIS0114,580
1169,VIS0129,589
1170,VIS0129,590
1171,VIS0129,591
1172,VIS0129,591
1173,VIS0185,568
1174,VIS0185,592
1175,VIS0185,592
1176,VIS0187,593
1177,VIS0187,593
1178,VIS0188,594
1179,VIS0188,594
1180,VIS0189,557
1181,VIS0190,563
1182,VIS0212,595
1183,VIS0217,596
1184,VIS0219,597
1185,VIS0220,598
1186,VIS0230,596
1187,VIS0231,599
1188,VIS0231,599
1189,VIS0240,581
1190,VIS0249,583
1191,VIS0256,578
